,dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
183,57486,764,36554,31 July 2020,2020-07-31,1697068,36566,1095538
184,55117,854,51368,1 August 2020,2020-08-01,1752185,37420,1146906
185,52672,760,40355,2 August 2020,2020-08-02,1804857,38180,1187261
186,50488,806,43070,3 August 2020,2020-08-03,1855345,38986,1230331
187,51282,849,51220,4 August 2020,2020-08-04,1906627,39835,1281551
188,56626,919,45583,5 August 2020,2020-08-05,1963253,40754,1327134
189,62170,899,50141,6 August 2020,2020-08-06,2025423,41653,1377275
190,61455,936,50387,7 August 2020,2020-08-07,2086878,42589,1427662
191,65156,875,52135,8 August 2020,2020-08-08,2152034,43464,1479797
192,62117,1013,54474,9 August 2020,2020-08-09,2214151,44477,1534271
193,53016,887,47362,10 August 2020,2020-08-10,2267167,45364,1581633
194,61252,835,56461,11 August 2020,2020-08-11,2328419,46199,1638094
195,67066,950,57759,12 August 2020,2020-08-12,2395485,47149,1695853
196,64141,1006,54776,13 August 2020,2020-08-13,2459626,48155,1750629
197,65610,989,56920,14 August 2020,2020-08-14,2525236,49144,1807549
198,63986,952,53116,15 August 2020,2020-08-15,2589222,50096,1860665
199,58096,952,57404,16 August 2020,2020-08-16,2647318,51048,1918069
200,54298,880,58172,17 August 2020,2020-08-17,2701616,51928,1976241
201,65024,1099,60455,18 August 2020,2020-08-18,2766640,53027,2036696
202,69196,979,59365,19 August 2020,2020-08-19,2835836,54006,2096061
203,68518,981,61873,20 August 2020,2020-08-20,2904354,54987,2157934
204,69029,953,62858,21 August 2020,2020-08-21,2973383,55940,2220792
205,70067,918,59101,22 August 2020,2020-08-22,3043450,56858,2279893
206,61749,846,56896,23 August 2020,2020-08-23,3105199,57704,2336789
207,59696,854,66305,24 August 2020,2020-08-24,3164895,58558,2403094
208,66873,1066,64151,25 August 2020,2020-08-25,3231768,59624,2467245
209,75995,1017,56191,26 August 2020,2020-08-26,3307763,60641,2523436
210,76827,1066,59620,27 August 2020,2020-08-27,3384590,61707,2583056
211,76657,1019,64475,28 August 2020,2020-08-28,3461247,62726,2647531
212,78479,943,64982,29 August 2020,2020-08-29,3539726,63669,2712513
213,79461,960,60422,30 August 2020,2020-08-30,3619187,64629,2772935
214,68766,816,64435,31 August 2020,2020-08-31,3687953,65445,2837370
215,78168,892,62145,1 September 2020,2020-09-01,3766121,66337,2899515
216,82860,913,67874,2 September 2020,2020-09-02,3848981,67250,2967389
217,84156,979,67491,3 September 2020,2020-09-03,3933137,68229,3034880
218,87115,950,69625,4 September 2020,2020-09-04,4020252,69179,3104505
219,90600,916,73161,5 September 2020,2020-09-05,4110852,70095,3177666
220,91725,1005,69630,6 September 2020,2020-09-06,4202577,71100,3247296
221,75015,1129,74116,7 September 2020,2020-09-07,4277592,72229,3321412
222,89855,1107,74608,8 September 2020,2020-09-08,4367447,73336,3396020
223,95536,1168,73062,9 September 2020,2020-09-09,4462983,74504,3469082
224,96762,1213,70904,10 September 2020,2020-09-10,4559745,75717,3539986
225,97655,1202,81456,11 September 2020,2020-09-11,4657400,76919,3621442
226,94414,1111,77862,12 September 2020,2020-09-12,4751814,78030,3699304
227,93220,1140,77748,13 September 2020,2020-09-13,4845034,79170,3777052
228,81913,1054,79213,14 September 2020,2020-09-14,4926947,80224,3856265
229,91098,1281,82849,15 September 2020,2020-09-15,5018045,81505,3939114
230,97860,1140,82924,16 September 2020,2020-09-16,5115905,82645,4022038
231,96787,1175,87788,17 September 2020,2020-09-17,5212692,83820,4109826
232,92973,1221,95515,18 September 2020,2020-09-18,5305665,85041,4205341
233,92574,1149,94389,19 September 2020,2020-09-19,5398239,86190,4299730
234,87395,1135,92926,20 September 2020,2020-09-20,5485634,87325,4392656
235,74493,1056,102070,21 September 2020,2020-09-21,5560127,88381,4494726
236,83362,1085,89657,22 September 2020,2020-09-22,5643489,89466,4584383
237,86703,1123,87459,23 September 2020,2020-09-23,5730192,90589,4671842
238,85921,1144,81142,24 September 2020,2020-09-24,5816113,91733,4752984
239,85717,1093,93331,25 September 2020,2020-09-25,5901830,92826,4846315
240,88759,1124,92365,26 September 2020,2020-09-26,5990589,93950,4938680
241,82770,1040,74691,27 September 2020,2020-09-27,6073359,94990,5013371
242,69669,775,85198,28 September 2020,2020-09-28,6143028,95765,5098569
243,80500,1178,86150,29 September 2020,2020-09-29,6223528,96943,5184719
244,86748,1179,85274,30 September 2020,2020-09-30,6310276,98122,5269993
245,81784,1099,78731,1 October 2020,2020-10-01,6392060,99221,5348724
246,79883,1068,76339,2 October 2020,2020-10-02,6471943,100289,5425063
247,75479,937,81655,3 October 2020,2020-10-03,6547422,101226,5506718
248,74770,903,76713,4 October 2020,2020-10-04,6622192,102129,5583431
249,60130,886,75855,5 October 2020,2020-10-05,6682322,103015,5659286
250,71869,990,81945,6 October 2020,2020-10-06,6754191,104005,5741231
251,78809,963,83209,7 October 2020,2020-10-07,6833000,104968,5824440
252,70797,967,78745,8 October 2020,2020-10-08,6903797,105935,5903185
253,73305,929,82628,9 October 2020,2020-10-09,6977102,106864,5985813
254,74418,921,89024,10 October 2020,2020-10-10,7051520,107785,6074837
255,67789,813,71565,11 October 2020,2020-10-11,7119309,108598,6146402
256,54262,710,78365,12 October 2020,2020-10-12,7173571,109308,6224767
257,63717,727,74079,13 October 2020,2020-10-13,7237288,110035,6298846
258,67811,690,81582,14 October 2020,2020-10-14,7305099,110725,6380428
259,63441,882,70792,15 October 2020,2020-10-15,7368540,111607,6451220
260,62304,840,70568,16 October 2020,2020-10-16,7430844,112447,6521788
261,61893,1032,72583,17 October 2020,2020-10-17,7492737,113479,6594371
262,56519,582,66418,18 October 2020,2020-10-18,7549256,114061,6660789
263,45506,589,69800,19 October 2020,2020-10-19,7594762,114650,6730589
264,54348,714,61828,20 October 2020,2020-10-20,7649110,115364,6792417
265,56264,701,79561,21 October 2020,2020-10-21,7705374,116065,6871978
266,54371,686,74569,22 October 2020,2020-10-22,7759745,116751,6946547
267,53931,655,66994,23 October 2020,2020-10-23,7813676,117406,7013541
268,50366,578,62270,24 October 2020,2020-10-24,7864042,117984,7075811
269,45922,483,59304,25 October 2020,2020-10-25,7909964,118467,7135115
270,36019,485,63734,26 October 2020,2020-10-26,7945983,118952,7198849
271,43036,511,58429,27 October 2020,2020-10-27,7989019,119463,7257278
272,50188,515,56594,28 October 2020,2020-10-28,8039207,119978,7313872
273,48765,562,57867,29 October 2020,2020-10-29,8087972,120540,7371739
274,48117,550,59005,30 October 2020,2020-10-30,8136089,121090,7430744
275,47228,469,58682,31 October 2020,2020-10-31,8183317,121559,7489426
276,45928,491,53312,1 November 2020,2020-11-01,8229245,122050,7542738
277,37592,498,58524,2 November 2020,2020-11-02,8266837,122548,7601262
278,46027,510,53328,3 November 2020,2020-11-03,8312864,123058,7654590
279,50465,707,55873,4 November 2020,2020-11-04,8363329,123765,7710463
280,47628,672,54133,5 November 2020,2020-11-05,8410957,124437,7764596
281,50017,577,53946,6 November 2020,2020-11-06,8460974,125014,7818542
282,46153,557,48582,7 November 2020,2020-11-07,8507127,125571,7867124
283,46707,491,48465,8 November 2020,2020-11-08,8553834,126062,7915589
284,37119,450,41449,9 November 2020,2020-11-09,8590953,126512,7957038
285,44724,511,54639,10 November 2020,2020-11-10,8635677,127023,8011677
286,48285,550,52704,11 November 2020,2020-11-11,8683962,127573,8064381
287,44585,544,49354,12 November 2020,2020-11-12,8728547,128117,8113735
288,44620,517,47620,13 November 2020,2020-11-13,8773167,128634,8161355
289,41692,450,42317,14 November 2020,2020-11-14,8814859,129084,8203672
290,30681,434,44111,15 November 2020,2020-11-15,8845540,129518,8247783
291,28609,451,40392,16 November 2020,2020-11-16,8874149,129969,8288175
292,38548,472,44753,17 November 2020,2020-11-17,8912697,130441,8332928
293,45366,586,48675,18 November 2020,2020-11-18,8958063,131027,8381603
294,46185,582,45246,19 November 2020,2020-11-19,9004248,131609,8426849
295,46283,564,48968,20 November 2020,2020-11-20,9050531,132173,8475817
296,45301,499,44055,21 November 2020,2020-11-21,9095832,132672,8519872
297,44404,510,41405,22 November 2020,2020-11-22,9140236,133182,8561277
298,37441,481,42195,23 November 2020,2020-11-23,9177677,133663,8603472
299,44245,489,37765,24 November 2020,2020-11-24,9221922,134152,8641237
300,44699,518,36582,25 November 2020,2020-11-25,9266621,134670,8677819
301,43174,491,39723,26 November 2020,2020-11-26,9309795,135161,8717542
302,41353,486,41177,27 November 2020,2020-11-27,9351148,135647,8758719
303,41815,495,42275,28 November 2020,2020-11-28,9392963,136142,8800994
304,39036,444,45152,29 November 2020,2020-11-29,9431999,136586,8846146
305,31179,482,42282,30 November 2020,2020-11-30,9463178,137068,8888428
306,36474,501,43208,1 December 2020,2020-12-01,9499652,137569,8931636
307,35506,526,40908,2 December 2020,2020-12-02,9535158,138095,8972544
308,36574,541,42991,3 December 2020,2020-12-03,9571732,138636,9015535
309,36711,511,42359,4 December 2020,2020-12-04,9608443,139147,9057894
310,36010,482,41885,5 December 2020,2020-12-05,9644453,139629,9099779
311,33178,390,39078,6 December 2020,2020-12-06,9677631,140019,9138857
312,26227,386,39293,7 December 2020,2020-12-07,9703858,140405,9178150
313,32083,402,36583,8 December 2020,2020-12-08,9735941,140807,9214733
314,31637,413,37693,9 December 2020,2020-12-09,9767578,141220,9252426
315,29411,411,37707,10 December 2020,2020-12-10,9796989,141631,9290133
316,29961,442,33492,11 December 2020,2020-12-11,9826950,142073,9323625
